IslandCode,IslandName,SiteCode,SiteName,ScientificName,SurveyYear,Mean_Density,ReserveStatus,Reference,Old_New_Comp,ReserveYear
SM,San Miguel Island,WL,Wyckoff Ledge,Cypraea spadicea,1982,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Eisenia arborea,1982,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Laminaria farlowii,1982,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Macrocystis pyrifera,1982,1.4667,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Megastraea undosa,1982,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Parastichopus parvimensis,1982,0.0333,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Patiria miniata,1982,1.6,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Pisaster giganteus,1982,0.2333,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Pterygophora californica,1982,0.2667,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Strongylocentrotus franciscanus,1982,0.5667,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Strongylocentrotus purpuratus,1982,0.1,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Styela montereyensis,1982,0.1333,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Cypraea spadicea,1983,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Eisenia arborea,1983,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Laminaria farlowii,1983,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Macrocystis pyrifera,1983,0.95,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Megastraea undosa,1983,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Parastichopus parvimensis,1983,0.175,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Patiria miniata,1983,1.45,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Pisaster giganteus,1983,0.2,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Pterygophora californica,1983,0.075,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Strongylocentrotus franciscanus,1983,0.75,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Strongylocentrotus purpuratus,1983,0.05,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Styela montereyensis,1983,0.075,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Cypraea spadicea,1984,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Eisenia arborea,1984,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Laminaria farlowii,1984,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Macrocystis pyrifera,1984,0.8667,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Megastraea undosa,1984,0,Outside,FALSE,TRUE,Outside
SM,San Miguel Island,WL,Wyckoff Ledge,Parastichopus parvimensis,1984,0.325,Outside,FALSE,TRUE,Outside
