IslandCode,IslandName,SiteCode,SiteName,SurveyYear,ReserveStatus,black_and_yellow_rockfish,black_surfperch,blacksmith,blue_rockfish,cabezon,California_scorpionfish,California_sheephead_female,California_sheephead_male,garibaldi,halfmoon,kelp_bass,kelp_rockfish,lingcod,ocean_whitefish,olive_rockfish,opaleye,pile_perch,rock_wrasse_female,rock_wrasse_male,rubberlip_surfperch,senorita,striped_surfperch,treefish,Mean_ONI_ANOM
AN,Anacapa,AR,Admiral's Reef,2005,Outside,637.9734204113405,679.8341513489058,0,0,779.4120384359703,205.99845236290787,1080.9776162624262,0,2172.0435027207245,5847.1797730780745,1452.7240258062172,23.53392082251556,0,0,0,8010.954919961236,0,64.12823640702729,97.43812126238586,0,1229.3257294919288,0,1753.3518050164514,0.04166666666666667
AN,Anacapa,AR,Admiral's Reef,2006,Outside,1275.946840822681,967.4562923042122,13116.445743319271,0,0,669.4949701794505,2123.3488890869085,0,2732.5708582615566,8687.238520001712,2033.813636128704,94.13568329006225,2519.3325785034854,0,0,10392.590166436197,824.4779500715911,117.56843341288337,272.82673953468037,0,1426.8959360174172,0,1701.7826342806734,0.11416666666666668
AN,Anacapa,AR,Admiral's Reef,2007,Outside,661.6020656117606,940.0637074513259,21683.598824675108,74.4749847570894,0,218.97676106174006,5580.761423640542,0,2335.5306480868007,2088.278490385027,847.4223483869602,343.2030119950186,0,0,0,6856.2226792461015,752.4997163351824,180.36066489476423,259.83499003302893,1098.6069237065708,896.5208898169968,0,6900.446179406483,-0.5908333333333333
AN,Anacapa,AR,Admiral's Reef,2008,Outside,115.3322232548549,819.3386190139213,49607.568260800996,20.978868945658984,0,810.8971098464779,1885.158602359697,0,2687.795435766824,0,2167.5699114157233,523.0100255793096,0,0,0,1262.9883882821769,65.43475794218976,271.85543488328335,32.479373754128616,823.9551927799282,62.72070048428208,0,1459.2138243416023,-0.7583333333333333
AN,Anacapa,AR,Admiral's Reef,2009,Outside,353.1489719951243,1987.6871299016234,9542.354530584113,57.98025306190256,0,0,1125.4523296641892,0,2183.8003456093284,431.0515393118769,3486.591211768877,214.19743914552276,0,1201.9014930100248,7.221930926444923,0,0,265.323501657076,472.73204133437923,823.9551927799282,162.75581805291063,0,2725.060551562552,0.3125
AN,Anacapa,AR,Admiral's Reef,2010,Outside,462.4597171207937,1378.592015841587,33140.342443646026,1957.0761363282813,0,0,6962.3629695345335,0,2544.692180985833,0,2260.3768517682715,584.4609939829,0,2803.9045038927243,134.00355296782794,0,0,131.90297590996985,192.54324788284742,823.9551927799282,2573.4839043899296,0,4507.678425198843,-0.4616666666666666
AN,Anacapa,AR,Admiral's Reef,2011,Outside,654.1877014343448,1733.8591461877018,28381.73377321939,7047.959756721537,0,0,2512.9978025053374,0,3053.6306171829997,0,1258.0466211756575,2567.974316441645,0,0,0,0,320.57204742014767,675.0169352362246,175.38861827229456,0,542.53405918904,0,4244.034360894921,-0.8391666666666666
AN,Anacapa,AR,Admiral's Reef,2012,Outside,664.1031112342848,74.13872680574802,14107.817805873592,2794.602183794845,300.65730756237235,556.5324843973541,7532.203295073387,0,6852.008990633258,0,3192.3446917351725,1319.2346228276915,0,1567.3826798295302,208.9148091204949,0,254.28465137106974,488.81928701055756,505.7717330600649,0,0,0,2721.17281397483,-0.11416666666666667
AN,Anacapa,AR,Admiral's Reef,2013,Outside,922.9018105123947,598.0450429649036,22213.015382966154,14788.30424316706,639.1432714064695,0,2351.986208648183,0,6852.008990633258,0,825.0056812314987,1739.893453364437,2646.1731615855106,1119.975825133264,670.0158393447383,0,1286.5813332152668,192.54324788284742,216.93119493874482,0,1454.8977900332277,0,2994.5652208896454,-0.29333333333333333
AN,Anacapa,AR,Admiral's Reef,2014,Outside,795.3893146537646,72.40700644763787,210255.7150720402,40553.44896134425,0,0,2972.1880421463698,0,2544.692180985833,0,1954.9144699935882,457.13857344012285,699.2256692635607,0,380.66012785358714,0,254.28465137106974,170.09946246016503,0,0,1.147775119879559,0,1339.0274848534755,0.13999999999999999
AN,Anacapa,AR,Admiral's Reef,2015,Outside,1301.43472209657,3724.2651394326326,65206.91794781631,2846.477799287738,0,846.7866234601926,4560.788960297942,0,4627.044755905812,6731.0609009039645,10414.704720115114,73.54350257036113,5555.166118100648,0,55.06722331414253,0,2429.374186460229,2163.7501916325996,1409.9295543005655,0,3241.2966122282137,0,4017.677718466271,1.485
AN,Anacapa,AR,Admiral's Reef,2016,Outside,247.18763543555124,5575.653024774979,16371.71501866948,70.94987605497491,0,14.893095703620698,12605.746725511573,0,7502.102263530609,10749.230692795518,8114.852533580903,2424.7788049521796,5555.166118100648,3018.2347319603564,2717.5477431581753,0,4137.18709581319,3749.8073712687233,1982.6237671248798,1647.9103855598564,2060.953833723204,197.84337282504512,2861.541084793315,0.35666666666666663
AN,Anacapa,AR,Admiral's Reef,2017,Outside,320.36613373949604,660.7529963318271,17447.12027861667,201.55627663278656,0,136.62536747100003,9324.446174601755,0,9755.030376935814,2771.875238134598,3067.70250212091,178.3506093405781,0,3203.694752944565,0,22623.798088854448,254.28465137106974,1672.4675798017888,3246.598762944386,0,8501.155261284204,0,1873.9860254612076,-0.17666666666666667
